startdepot,returndepot,numOrders,LIFO,maxOrder,radius,stop,detour
B01FE15XQH,B0FFGPRVIT,1636,0,5,80,400,10
# orders
id,origin,org_city,destination,dest_city,distance,duration,pallet,dayo,to,dayd,td,LTL
1,B0H1TCJ4IO,Yangzhou,B0FFH0WGKS,Suzhou,211.555,2.85,14,day 0,08:00,day 0,20:00,5284.077316
2,B0202173FW,Yangzhou,B0FFL7OZ0J,Wuxi,191.731,2.63333333333333,17,day 0,08:00,day 0,20:00,6416.379598
3,B0FFK7ZQFN,Wuxi,B0FFGAIWAV,Suzhou,112.935,1.53333333333333,6,day 0,08:00,day 0,20:00,2264.604564
4,B0G0ZLYTOF,Nanjing,B0FFH6WPC3,Shanghai,298.358,4.13333333333333,8,day 0,08:00,day 0,20:00,3019.472752
5,B0FFHJD9U9,Wuxi,B0I6TYMZJG,Suzhou,111.24,1.53333333333333,20,day 0,12:00,day 0,24:00,7548.68188
6,B0FFGTI293,Changzhou,B02000JJN1,Suzhou,131.53,1.88333333333333,5,day 0,12:00,day 0,24:00,1887.17047
7,B0202173FW,Yangzhou,B0FFKZGWZ9,Suzhou,252.339,3.13333333333333,11,day 0,08:00,day 0,20:00,4151.775034
8,B0202150WR,Yangzhou,B0FFGO36Q6,Shanghai,285.437,3.75,6,day 0,08:00,day 0,20:00,2264.604564
9,B020216GML,Yangzhou,B00156GGDT,Shanghai,276.515,3.8,12,day 0,12:00,day 0,24:00,4529.209128
10,B0FFF8Z69A,Changzhou,B0FFJ1CPHP,Shanghai,178.778,2.55,8,day 0,12:00,day 0,24:00,3019.472752
11,B0H1TCJ4IO,Yangzhou,B0FFL7OZ0J,Wuxi,158.609,2.38333333333333,14,day 0,12:00,day 0,24:00,5284.077316
12,B0H1TCJ4IO,Yangzhou,B0FFHD3E8G,Suzhou,195.086,2.7,9,day 0,12:00,day 0,24:00,3396.906846
13,B0FFFRXR3L,Yangzhou,B0FFL7OZ0J,Wuxi,245.513,3.58333333333333,11,day 0,08:00,day 0,20:00,4151.775034
14,B020215DUP,Yangzhou,B0FFJN8WFQ,Wuxi,165.598,2.4,17,day 0,12:00,day 0,24:00,6416.379598
15,B0FFL9Q85P,Nanjing,B0FFI8WH5V,Suzhou,203.147,2.46666666666667,12,day 0,08:00,day 0,20:00,4529.209128
16,B0FFITJD3C,Wuxi,B0FFKDRXE8,Shanghai,173.781,2.4,4,day 0,12:00,day 0,24:00,1509.736376
17,B0FFH4SOJP,Nanjing,B0GDDXZDXN,Suzhou,220.622,2.4,7,day 0,08:00,day 0,20:00,2642.038658
18,B0FFGZQ43R,Wuxi,B00156GGDT,Shanghai,150.54,2.05,15,day 0,12:00,day 0,24:00,5661.51141
19,B0FFK4CQ2L,Changzhou,B0IG9RDYYV,Suzhou,110.237,1.7,16,day 0,08:00,day 0,20:00,6038.945504
20,B0FFGYNGHQ,Changzhou,B0FFI8WH5V,Suzhou,90.271,1.35,12,day 0,12:00,day 0,24:00,4529.209128
21,B0FFGTI293,Changzhou,B0FFGJ1NAK,Suzhou,117.97,1.75,20,day 0,08:00,day 0,20:00,7548.68188
22,B0FFK7ZQFN,Wuxi,B01FE0J0V7,Wuxi,63.02,1.13333333333333,7,day 0,08:00,day 0,20:00,2642.038658
