startdepot,returndepot,numOrders,LIFO,maxOrder,radius,stop,detour
B01FE15XQH,B0FFGPRVIT,2054,1,5,40,400,10
# orders
id,origin,org_city,destination,dest_city,distance,duration,pallet,dayo,to,dayd,td,LTL
1,B020215DUP,Yangzhou,B02000JJ21,Suzhou,203.573,2.73333333333333,17,day 0,12:00,day 0,24:00,6416.379598
2,B0G0ZLYTOF,Nanjing,B0FFFU612V,Wuxi,146.47,2.28333333333333,9,day 0,12:00,day 0,24:00,3396.906846
3,B0FFFTQ4U7,Wuxi,B0FFKZGWZ9,Suzhou,83.213,1.33333333333333,11,day 0,12:00,day 0,24:00,4151.775034
4,B0FFFRXR3L,Yangzhou,B0FFHNXOVT,Suzhou,325.432,4.36666666666667,16,day 0,12:00,day 0,24:00,6038.945504
5,B0G0ZLYTOF,Nanjing,B0FFJRVTYE,Shanghai,290.916,3.88333333333333,14,day 0,08:00,day 0,20:00,5284.077316
6,B01FE15UUN,Wuxi,B0FFFA2AO6,Shanghai,144.069,1.95,18,day 0,08:00,day 0,20:00,6793.813692
7,B0HDRHT0UU,Nanjing,B0FFGAIWAV,Suzhou,280.092,3.4,7,day 0,08:00,day 0,20:00,2642.038658
8,B0FFH4SOJP,Nanjing,B0FFGZQ43R,Wuxi,157.145,2.03333333333333,16,day 0,12:00,day 0,24:00,6038.945504
9,B020215DUP,Yangzhou,B0I6TYMZJG,Suzhou,240.757,3.03333333333333,14,day 0,12:00,day 0,24:00,5284.077316
10,B0FFG2575E,Zhenjiang,B0FFHFSCFH,Suzhou,191.995,2.45,14,day 0,08:00,day 0,20:00,5284.077316
11,B0FFFRXR3L,Yangzhou,B0FFG94S3Z,Shanghai,369.74,5,4,day 0,08:00,day 0,20:00,1509.736376
12,B0FFIS83Q7,Zhenjiang,B02000JJN1,Suzhou,159.121,2.2,19,day 0,12:00,day 0,24:00,7171.247786
13,B0FFH1DRA5,Nanjing,B0FFITJD3C,Wuxi,197.346,2.95,12,day 0,12:00,day 0,24:00,4529.209128
14,B0FFH1DRA5,Nanjing,B0FFJN8WFQ,Wuxi,189.339,2.4,10,day 0,08:00,day 0,20:00,3774.34094
15,B0GUCU8FLD,Zhenjiang,B0FFI8WH5V,Suzhou,179.609,2.31666666666667,20,day 0,08:00,day 0,20:00,7548.68188
16,B0FFG2575E,Zhenjiang,B0FFGPRVIT,Shanghai,255.458,3.15,13,day 0,12:00,day 0,24:00,4906.643222
17,B0G0NZW2VU,Nanjing,B0FFFTQ4U7,Wuxi,176.319,2.31666666666667,11,day 0,12:00,day 0,24:00,4151.775034
18,B0FFL9CGXN,Nanjing,B0G2MKTPMP,Shanghai,275.473,3.56666666666667,16,day 0,08:00,day 0,20:00,6038.945504
19,B01FE0J0V7,Wuxi,B0FFLCF954,Shanghai,143.827,2.35,19,day 0,08:00,day 0,20:00,7171.247786
20,B0FFL9Q85P,Nanjing,B0FFLCF954,Shanghai,279.355,3.68333333333333,13,day 0,12:00,day 0,24:00,4906.643222
