startdepot,returndepot,numOrders,LIFO,maxOrder,radius,stop,detour
B01FE15XQH,B0FFKHC9PU,3023,0,5,40,400,5
# orders
id,origin,org_city,destination,dest_city,distance,duration,pallet,dayo,to,dayd,td,LTL
1,B0GUCU8FLD,Zhenjiang,B0FFK4YCJ8,Shaoxing,343.377,4.2,12,day 0,12:00,day 0,24:00,5661.51141
2,B0FFG2575E,Zhenjiang,B0FFG4GVOV,Zhoushan,431.062,4.91666666666667,10,day 0,12:00,day 0,24:00,4717.926175
3,B0FFH70JG8,Nanjing,B0I60OAVXT,Jiaxing,289.22,3.23333333333333,14,day 0,12:00,day 0,24:00,6605.096645
4,B0202173FW,Yangzhou,B0FFLPWCQK,Hangzhou,291.966,3.35,8,day 0,08:00,day 0,20:00,3774.34094
5,B02001C3PG,Suzhou,B0FFG2I6S2,Ningbo,295.81,3.43333333333333,17,day 0,12:00,day 0,24:00,8020.4744975
6,B0GUAXEBYM,Changzhou,B0FFHDQ3SM,Jiaxing,160.656,2.11666666666667,11,day 0,12:00,day 0,24:00,5189.7187925
7,B01FE15XQH,Wuxi,B0FFLHS22C,Jiaxing,170.862,2.28333333333333,18,day 0,12:00,day 0,24:00,8492.267115
8,B0FFFOM198,Suzhou,B0G25CU48P,Hangzhou,332.972,3.65,15,day 0,12:00,day 0,24:00,7076.8892625
9,B0FFHLH9SB,Zhenjiang,B0FFKZT863,Hangzhou,291.377,4.2,18,day 0,08:00,day 0,20:00,8492.267115
10,B0FFIS83Q7,Zhenjiang,B0HA6CDCW1,Hangzhou,312.839,3.51666666666667,8,day 0,08:00,day 0,20:00,3774.34094
11,B02000JJ21,Suzhou,B0G30DK65S,Ningbo,176.245,2.36666666666667,19,day 0,08:00,day 0,20:00,8964.0597325
12,B020215DUP,Yangzhou,B0FFFA8L2B,Ningbo,414.799,4.95,6,day 0,08:00,day 0,20:00,2830.755705
13,B0FFGIBTXI,Suzhou,B0FFG2I6S2,Ningbo,277.237,3.6,11,day 0,12:00,day 0,24:00,5189.7187925
14,B0FFHFSCFH,Suzhou,B0FFLK4EPS,Jiaxing,157.482,2.35,14,day 0,12:00,day 0,24:00,6605.096645
15,B02000JR6M,Suzhou,B0FFKGBPOF,Jiaxing,109.46,1.5,16,day 0,12:00,day 0,24:00,7548.68188
16,B0FFH3869T,Zhenjiang,B0FFHDQ3SM,Jiaxing,270.559,3.28333333333333,16,day 0,12:00,day 0,24:00,7548.68188
17,B0FFF4JOKL,Suzhou,B0FFLHS22C,Jiaxing,94.413,1.5,17,day 0,12:00,day 0,24:00,8020.4744975
18,B0FFHDQA5M,Suzhou,B0FFI22X6S,Ningbo,243.556,2.85,6,day 0,08:00,day 0,20:00,2830.755705
19,B0FFH4SOJP,Nanjing,B0FFKVXSFY,Ningbo,391.842,4.8,8,day 0,12:00,day 0,24:00,3774.34094
20,B0FFHCRHH3,Changzhou,B023D040HU,Jiaxing,163.075,2.51666666666667,15,day 0,08:00,day 0,20:00,7076.8892625
21,B0FFLC9J93,Nanjing,B023E12FTI,Ningbo,437.66,5.86666666666667,13,day 0,12:00,day 0,24:00,6133.3040275
22,B0FFGZQ43R,Wuxi,B0FFJ01V55,Jiaxing,166.507,2,18,day 0,12:00,day 0,24:00,8492.267115
23,B01FE0J0V7,Wuxi,B0FFHW4GZB,Hangzhou,260.329,3.51666666666667,16,day 0,08:00,day 0,20:00,7548.68188
24,B01FE15XQH,Wuxi,B0G25CU48P,Hangzhou,391.129,4.91666666666667,11,day 0,08:00,day 0,20:00,5189.7187925
